id,cost,profit_pct
Share-DUPH,10010,0.1225
Share-GTAN,26040,0.3806
Share-USUF,9250,0.2769
Share-CFOZ,10640,0.3821
Share-QLRX,15720,0.2747
Share-XJDT,0,0.3711
Share-HKFP,23970,0.1966
Share-PPPH,24060,0.3820
Share-HLJY,26980,0.0554
Share-YKBD,0,0.2275
Share-CTCR,16600,0.1240
Share-LMJG,16540,0.2982
Share-IGUH,19130,0.1430
Share-VIRY,31940,0.0184
Share-PYDS,34900,0.3069
Share-SOOE,23090,0.3804
Share-NOIQ,24080,0.3681
Share-QUXB,36970,0.3608
Share-SJNY,24610,0.1743
Share-CQYF,26260,0.0065
Share-XJSP,42080,0.0303
Share-YNWM,9940,0.2825
Share-KTGN,6410,0.2537
Share-KWZO,41420,0.0119
Share-BVMS,27840,0.0451
Share-DAPD,8470,0.0666
Share-TVRM,31060,0.0663
Share-EIYB,11490,0.3774
Share-NNGR,43150,0.1509
Share-XWRU,28600,0.2337
Share-YEZB,17150,0.3028
Share-AQHE,7800,0.0536
Share-IJAW,0,0.3069
Share-SEBO,35850,0.1479
Share-MWTE,0,0.1837
Share-ZWIY,18360,0.1191
Share-BAOJ,38200,0.2836
Share-GKWN,16010,0.3352
Share-UZPA,27490,0.0440
Share-HODN,34800,0.0729
Share-HRDA,27450,0.3365
Share-ZRWP,25990,0.0672
Share-JWSN,23240,0.0728
Share-RLHB,38230,0.0446
Share-FFBY,22050,0.1141
Share-FTYF,9560,0.3154
Share-KNZG,14860,0.1380
Share-QPSA,28950,0.2990
Share-JMGY,28800,0.0311
Share-KWDY,26040,0.3789
Share-OWCV,30210,0.0074
Share-HUIT,36370,0.1787
Share-MSKF,19760,0.0364
Share-GFJZ,34570,0.2608
Share-IKZL,41630,0.1898
Share-BLKR,45910,0.1519
Share-INSV,32900,0.3447
Share-VBXG,30230,0.3548
Share-LTLT,28670,0.1665
Share-JTQE,33070,0.3091
Share-OHTK,7760,0.1536
Share-XBOW,30980,0.0813
Share-PKFS,19160,0.2516
