Algorithme,Programmation Dynamique
Temps d'exécution,14.5856s
Coût total,499870
Profit total,311489
Nombre d'actions,24
Budget restant,130

Actions sélectionnées,Coût,Profit,Rentabilité (%)
Share-LAHI,29640,14132,47.68%
Share-UEZE,6040,3177,52.60%
Share-KEUJ,37090,18656,50.30%
Share-VLOZ,6100,3983,65.30%
Share-NUZX,7150,6042,84.50%
Share-MJEL,32780,30551,93.20%
Share-BZBC,33550,16416,48.93%
Share-USSR,13760,8270,60.10%
Share-MVVG,28000,13118,46.85%
Share-FMLL,21170,10733,50.70%
Share-GSGQ,43320,21383,49.36%
Share-NWDK,42830,32037,74.80%
Share-RNEE,2660,1040,39.09%
Share-NFHZ,2090,1225,58.60%
Share-APNK,7970,3515,44.10%
Share-OQKF,36800,22301,60.60%
Share-DBFE,26550,14178,53.40%
Share-JEZT,31060,28047,90.30%
Share-SALE,6750,6487,96.10%
Share-CYYC,25900,12505,48.28%
Share-XINI,21590,17272,80.00%
Share-THNO,21790,13837,63.50%
Share-PAWY,15270,12582,82.40%
Share-XFUI,10,4,36.18%
