Algorithme,Algorithme Glouton
Temps d'exécution,0.0011s
Coût total,499110
Profit total,191431
Nombre d'actions,23
Budget restant,890

Actions sélectionnées,Coût,Profit,Rentabilité (%)
Share-ROOM,16760,6575,39.23%
Share-OAVO,34600,13376,38.66%
Share-YCGH,24450,9435,38.59%
Share-CVGN,24780,9488,38.29%
Share-IADB,280,107,38.29%
Share-CEGT,15850,6069,38.29%
Share-XQBD,33680,12896,38.29%
Share-SNYR,43110,16507,38.29%
Share-TDXN,16410,6283,38.29%
Share-BUBP,19590,7501,38.29%
Share-MCJD,26700,10223,38.29%
Share-XCGP,33120,12682,38.29%
Share-VCAX,21460,8217,38.29%
Share-MIWG,42890,16423,38.29%
Share-TBCG,26120,10001,38.29%
Share-TDDN,25510,9768,38.29%
Share-YNBV,24300,9304,38.29%
Share-HNPG,11750,4499,38.29%
Share-JRJR,1490,571,38.29%
Share-NOSY,3290,1260,38.29%
Share-ROAL,37110,14209,38.29%
Share-NDKR,15740,6027,38.29%
Share-LHAJ,120,8,7.08%
